id,timestamp,timestamp,sequence,byte1,byte8,byte6,byte3,can_id,byte4,byte2,byte5,byte7
6,1761572699598,1761572699598,31131,0,0,0,0,150892043,0,0,0,0
6,1761572699598,1761572699598,31134,255,125,116,255,418384139,112,255,125,126
6,1761572699598,1761572699598,31133,0,125,255,0,419373295,0,125,125,255
6,1761572699598,1761572699598,31132,0,38,255,255,202058448,255,255,255,255
6,1761572699578,1761572699578,31101,75,0,75,74,418518259,75,75,75,0
6,1761572699578,1761572699578,31102,0,125,255,0,419373295,0,125,125,255
6,1761572699578,1761572699578,31103,1,255,255,2,418579704,0,2,255,10
6,1761572699578,1761572699578,31104,58,255,40,21,419358456,27,44,10,255
6,1761572699578,1761572699578,31105,137,77,64,20,418644247,178,8,178,0
6,1761572699578,1761572699578,31106,48,99,255,255,201326603,250,255,255,255
6,1761572699578,1761572699578,31107,255,125,96,255,418384139,112,255,125,126
6,1761572699578,1761572699578,31108,255,255,255,111,419343920,111,255,255,255
6,1761572699578,1761572699578,31109,0,0,0,0,150892043,0,0,0,0
6,1761572699578,1761572699578,31110,14,99,255,0,217449893,74,1,0,0
6,1761572699578,1761572699578,31111,0,255,125,125,419348235,125,0,125,255
6,1761572699578,1761572699578,31112,0,243,1,255,418382091,255,0,255,255
6,1761572699578,1761572699578,31113,0,125,255,0,419373295,0,125,125,255
6,1761572699578,1761572699578,31114,193,255,255,255,419319563,255,0,255,255
6,1761572699578,1761572699578,31115,247,255,255,0,419361047,207,0,255,255
6,1761572699578,1761572699578,31116,0,255,254,0,419343627,0,0,254,255
6,1761572699578,1761572699578,31117,255,125,116,255,418384139,112,255,125,126
6,1761572699578,1761572699578,31118,0,125,255,0,419373295,0,125,125,255
6,1761572699578,1761572699578,31119,224,255,255,255,419283979,243,8,255,255
6,1761572699578,1761572699578,31120,0,255,255,255,215101223,255,0,255,0
6,1761572699578,1761572699578,31121,255,125,116,255,418384139,112,255,125,126
6,1761572699578,1761572699578,31122,255,255,255,111,419343920,111,255,255,255
6,1761572699578,1761572699578,31123,0,0,0,0,150892043,0,0,0,0
6,1761572699558,1761572699558,31067,39,42,13,10,418514931,42,13,37,12
6,1761572699558,1761572699558,31093,255,0,255,255,418382180,255,255,255,255
6,1761572699558,1761572699558,31069,204,66,255,125,217050891,255,250,255,255
6,1761572699558,1761572699558,31070,247,255,255,0,419361024,207,0,255,255
6,1761572699558,1761572699558,31071,7,22,13,11,418515187,36,13,7,12
6,1761572699558,1761572699558,31072,0,125,255,0,419373295,0,125,125,255
6,1761572699558,1761572699558,31073,0,125,255,0,419373295,0,125,125,255
6,1761572699558,1761572699558,31074,8,2,13,9,418515443,1,13,8,9
6,1761572699558,1761572699558,31075,255,125,116,255,418384139,112,255,125,126
6,1761572699558,1761572699558,31068,255,255,255,111,419343920,111,255,255,255
6,1761572699558,1761572699558,31077,73,9,9,73,418515699,9,9,73,73
6,1761572699558,1761572699558,31078,69,3,6,69,418515955,2,2,69,69
6,1761572699558,1761572699558,31079,0,0,0,0,418517235,0,0,0,0
6,1761572699558,1761572699558,31080,0,125,255,0,419373295,0,125,125,255
6,1761572699558,1761572699558,31081,0,0,0,0,418517491,0,0,0,0
6,1761572699558,1761572699558,31082,0,0,0,0,418517747,0,0,0,0
6,1761572699558,1761572699558,31083,0,169,101,0,217449378,0,0,0,0
6,1761572699558,1761572699558,31084,255,125,96,255,418384139,112,255,125,126
6,1761572699558,1761572699558,31085,255,255,255,111,419343920,111,255,255,255
6,1761572699558,1761572699558,31086,0,0,0,0,418518003,0,0,0,0
6,1761572699558,1761572699558,31087,0,0,0,0,150892043,0,0,0,0
6,1761572699558,1761572699558,31088,0,255,255,255,419354928,255,255,255,255
6,1761572699558,1761572699558,31089,108,255,18,73,408885235,81,9,69,255
6,1761572699558,1761572699558,31090,62,13,2,56,410982387,13,2,38,7
6,1761572699558,1761572699558,31091,253,255,255,100,217056000,255,0,255,255
6,1761572699558,1761572699558,31092,0,125,255,0,419373295,0,125,125,255
6,1761572699558,1761572699558,31100,0,21,255,255,202058448,255,255,255,255
6,1761572699558,1761572699558,31094,102,168,74,13,217448864,40,8,1,0
6,1761572699558,1761572699558,31095,225,255,255,0,419299536,255,3,255,255
6,1761572699558,1761572699558,31096,255,125,96,255,418384139,112,255,125,126
6,1761572699558,1761572699558,31097,244,128,255,255,418513907,4,255,0,255
6,1761572699558,1761572699558,31098,20,0,0,20,217450150,0,0,255,0
6,1761572699558,1761572699558,31099,1,31,255,73,418516723,69,55,255,255
6,1761572699558,1761572699558,31076,125,0,16,0,419325167,0,0,68,0
6,1761572699538,1761572699538,31039,0,125,255,0,419373295,0,125,125,255
6,1761572699538,1761572699538,31061,0,19,0,0,418710512,0,0,0,136
6,1761572699538,1761572699538,31041,225,255,255,0,419299536,255,3,255,255
6,1761572699538,1761572699538,31042,255,125,116,255,418384139,112,255,125,126
6,1761572699538,1761572699538,31043,255,255,255,111,419343920,111,255,255,255
6,1761572699538,1761572699538,31044,0,0,0,0,150892043,0,0,0,0
6,1761572699538,1761572699538,31045,0,244,255,255,202058448,255,255,255,255
6,1761572699538,1761572699538,31040,253,255,255,100,217056000,255,0,255,255
6,1761572699538,1761572699538,31047,255,125,116,255,418384139,112,255,125,126
6,1761572699538,1761572699538,31048,249,30,64,125,418513395,13,50,125,2
6,1761572699538,1761572699538,31049,11,13,13,12,411047923,13,13,11,10
6,1761572699538,1761572699538,31050,68,201,0,0,418447824,0,0,0,1
6,1761572699538,1761572699538,31051,36,7,0,11,418448336,0,39,0,208
6,1761572699538,1761572699538,31052,1,3,12,1,418448848,1,0,247,232
6,1761572699538,1761572699538,31053,70,70,70,70,408950771,70,70,70,70
6,1761572699538,1761572699538,31054,84,16,0,160,418449104,255,20,0,0
6,1761572699538,1761572699538,31055,102,240,245,0,217995840,0,0,211,255
6,1761572699538,1761572699538,31056,63,0,33,130,418710000,2,61,255,0
6,1761572699538,1761572699538,31057,195,0,160,49,418513651,88,200,160,0
6,1761572699538,1761572699538,31058,0,124,3,208,418710256,7,0,231,246
6,1761572699538,1761572699538,31059,255,125,116,255,418384139,112,255,125,126
6,1761572699538,1761572699538,31060,0,0,0,0,418514419,0,0,0,64
6,1761572699538,1761572699538,31066,51,126,126,30,419322176,126,126,18,44
6,1761572699538,1761572699538,31062,0,0,0,0,150892043,0,0,0,0
6,1761572699538,1761572699538,31063,125,255,255,3,418710768,255,232,255,255
6,1761572699538,1761572699538,31064,0,3,12,0,418448592,0,56,248,232
6,1761572699538,1761572699538,31065,56,39,13,12,418514675,46,13,42,12
6,1761572699538,1761572699538,31046,0,125,255,0,419373295,0,125,125,255
6,1761572699518,1761572699518,31024,0,125,255,0,419373295,0,125,125,255
6,1761572699518,1761572699518,31025,193,255,255,255,419319563,255,0,255,255
6,1761572699518,1761572699518,31026,247,255,255,0,419361047,207,0,255,255
6,1761572699518,1761572699518,31027,0,255,254,0,419343627,0,0,254,255
6,1761572699518,1761572699518,31028,255,125,116,255,418384139,112,255,125,126
6,1761572699518,1761572699518,31029,0,125,255,0,419373295,0,125,125,255
6,1761572699518,1761572699518,31030,125,255,255,255,419356416,255,255,251,255
6,1761572699518,1761572699518,31031,224,255,255,255,419283979,243,8,255,255
6,1761572699518,1761572699518,31032,125,255,255,255,419356655,255,255,255,255
6,1761572699518,1761572699518,31033,0,255,255,255,215101223,255,0,255,0
6,1761572699518,1761572699518,31034,255,125,116,255,418384139,112,255,125,126
6,1761572699518,1761572699518,31035,255,255,255,111,419343920,111,255,255,255
6,1761572699518,1761572699518,31036,0,0,0,0,150892043,0,0,0,0
6,1761572699518,1761572699518,31037,0,125,255,0,419373295,0,125,125,255
6,1761572699518,1761572699518,31038,255,125,116,255,418384139,112,255,125,126
6,1761572698258,1761572698258,30012,0,125,255,0,419373295,0,125,125,255
6,1761572698258,1761572698258,30033,204,5,255,125,217050891,255,250,255,255
6,1761572698258,1761572698258,30014,255,125,96,255,418384139,112,255,125,126
6,1761572698258,1761572698258,30015,0,125,255,0,419373295,0,125,125,255
6,1761572698258,1761572698258,30016,68,175,0,0,418447824,0,0,0,1
6,1761572698258,1761572698258,30017,36,7,0,11,418448336,0,39,0,208
6,1761572698258,1761572698258,30018,1,3,12,1,418448848,1,0,247,232
6,1761572698258,1761572698258,30013,0,0,0,0,418514419,0,0,0,64
6,1761572698258,1761572698258,30020,63,0,33,130,418710000,2,61,255,0
6,1761572698258,1761572698258,30021,102,240,245,0,217995840,0,0,211,255
6,1761572698258,1761572698258,30022,0,124,3,208,418710256,7,0,231,246
6,1761572698258,1761572698258,30023,0,19,0,0,418710512,0,0,0,136
6,1761572698258,1761572698258,30024,255,125,96,255,418384139,112,255,125,126
6,1761572698258,1761572698258,30025,125,255,255,3,418710768,255,232,255,255
6,1761572698258,1761572698258,30026,51,126,126,30,419322176,126,126,18,44
6,1761572698258,1761572698258,30027,255,255,255,111,419343920,111,255,255,255
6,1761572698258,1761572698258,30028,0,0,0,0,150892043,0,0,0,0
6,1761572698258,1761572698258,30029,0,3,12,0,418448592,0,56,248,232
6,1761572698258,1761572698258,30030,0,0,0,0,418517491,0,0,0,0
6,1761572698258,1761572698258,30031,0,125,255,0,419373295,0,125,125,255
6,1761572698258,1761572698258,30032,125,255,255,255,419356416,255,255,251,255
6,1761572698258,1761572698258,30038,125,0,16,0,419325167,0,0,68,0
6,1761572698258,1761572698258,30034,125,255,255,255,419356655,255,255,255,255
6,1761572698258,1761572698258,30035,247,255,255,0,419361024,207,0,255,255
6,1761572698258,1761572698258,30036,16,64,0,64,419361843,38,233,0,0
6,1761572698258,1761572698258,30037,255,125,96,255,418384139,112,255,125,126
