start_time,end_time,duration_mins,mode,vehicle_speed_start,vehilceready_start,gun_connection_status_start,b2t_battery_max_temp_start,b2t_battery_max_temp_end,b2t_battery_max_temp_med,mintemp_cellnum_start,mintemp_cellnum_end,mintemp_cellnum_mode,maxtemp_cellnum_start,maxtemp_cellnum_end,maxtemp_cellnum_mode,coolant_out_temp_start,coolant_out_temp_end,coolant_out_temp_med,coolant_in_temp_start,coolant_in_temp_end,coolant_in_temp_med,cell_max_voltage_med,cell_min_voltage_med,minvolt_cellnum_start,minvolt_cellnum_end,minvolt_cellnum_mode,maxvolt_cellnum_start,maxvolt_cellnum_end,maxvolt_cellnum_mode,compressor_start,compressor_end,b2t_tms_control_cmd,tms_working_mode,tms_fault_code
2025-10-01 11:37:53.695000+05:30,2025-10-01 11:48:05.795000+05:30,10.2,Drive,0.0,1.0,0.0,29,28,28.0,9.0,9.0,9.0,107.0,74.0,80.0,16,20,19.0,19,21,20.0,3.249,3.242,48.0,48.0,48.0,92.0,142.0,86.0,On,Off,Self_Circulation,Self_Circulation,No Fault
2025-10-01 11:48:06.974000+05:30,2025-10-01 12:58:47.463000+05:30,70.67,Drive,78.4,1.0,0.0,28,30,28.0,9.0,6.0,9.0,74.0,81.0,80.0,20,24,22.0,21,22,21.0,3.273,3.267,480.0,96.0,48.0,54.0,220.0,92.0,Off,Off,Off,Off,No Fault
2025-10-01 12:59:01.963000+05:30,2025-10-01 14:14:19.303000+05:30,75.29,Charging/Park,0.0,0.0,1.0,30,32,33.0,6.0,9.0,9.0,73.0,107.0,80.0,24,11,15.0,22,14,17.0,3.412,3.4,96.0,413.0,54.0,221.0,574.0,464.0,Off,On,Charging_Cooling,Charging_Cooling,No Fault
2025-10-01 15:31:00.009000+05:30,2025-10-02 00:41:06.775000+05:30,550.11,Idle/Other,,,,29,35,31.0,,9.0,9.0,,73.0,79.0,19,20,19.0,19,19,19.0,3.321,3.316,,523.0,48.0,,86.0,574.0,Off,Off,Off,Off,No Fault
2025-10-02 00:41:08.715000+05:30,2025-10-02 01:58:18.650000+05:30,77.17,Drive,77.4,1.0,0.0,35,29,32.0,9.0,9.0,9.0,73.0,107.0,80.0,20,21,18.0,19,21,21.0,3.282,3.278,550.0,48.0,48.0,28.0,62.0,422.0,Off,,Fast_Discharge_Cooling,Fast_Discharge_Cooling,No Fault
2025-10-02 01:59:01.489000+05:30,2025-10-02 02:09:06.615000+05:30,10.09,Drive,2.0,1.0,0.0,28,28,28.0,9.0,9.0,9.0,80.0,77.0,80.0,20,23,22.0,21,23,22.0,3.283,3.279,48.0,480.0,48.0,95.0,95.0,38.0,On,,Self_Circulation,Self_Circulation,No Fault
2025-10-02 02:09:09.575000+05:30,2025-10-02 03:40:02.276000+05:30,90.88,Drive,9.2,1.0,0.0,28,29,28.0,9.0,9.0,9.0,74.0,81.0,81.0,23,20,20.0,23,20,21.0,3.274,3.27,545.0,17.0,48.0,232.0,431.0,92.0,,,Off,Off,No Fault
2025-10-02 03:40:02.456000+05:30,2025-10-02 05:11:12.016000+05:30,91.16,Idle/Other,,,,30,37,37.0,9.0,9.0,9.0,81.0,80.0,81.0,20,20,15.0,20,31,24.0,3.378,3.369,17.0,252.0,17.0,431.0,42.0,477.0,,,Charging_Cooling,Charging_Cooling,No Fault
2025-10-02 05:11:15.056000+05:30,2025-10-02 05:11:18.036000+05:30,0.05,Charging/Park,0.0,0.0,1.0,37,37,37.0,9.0,9.0,9.0,80.0,80.0,80.0,21,21,21.0,31,31,31.0,3.338,3.334,82.0,82.0,82.0,566.0,422.0,422.0,Off,,Off,Off,No Fault
2025-10-02 05:11:21.176000+05:30,2025-10-02 05:12:11.636000+05:30,0.84,Charging/Park,0.0,0.0,1.0,37,37,37.0,9.0,9.0,9.0,80.0,80.0,80.0,21,25,23.0,31,31,31.0,3.337,3.334,82.0,252.0,252.0,38.0,42.0,38.0,,,Charging_Cooling,Off,No Fault
