,vehicle_id,timestamp,dt,IST,ts_mins,total_battery_current,bat_voltage,gear_position,odometerreading,vehicle_speed_vcu,vehiclereadycondition,gun_connection_status,ignitionstatus,latitude,longitude,altitude,ground_speed_kmph,charger_proximity,dist_from_loc
17280,18,2025-09-21 05:10:27.799,2025-09-21,2025-09-21 10:40:27.799,2025-09-21 05:10:00,10.0,630.0,0.0,2846.5,0.0,1.0,0.0,1.0,29.549412,77.747536,256.8,,NEAR_MZF,15.67
17281,18,2025-09-21 05:10:29.459,2025-09-21,2025-09-21 10:40:29.459,2025-09-21 05:10:00,9.1,630.0,0.0,2846.5,0.0,1.0,0.0,1.0,29.549412,77.747536,256.8,,NEAR_MZF,15.67
17282,18,2025-09-21 05:10:31.519,2025-09-21,2025-09-21 10:40:31.519,2025-09-21 05:10:00,8.5,630.1,0.0,2846.5,0.0,1.0,0.0,1.0,29.549412,77.747536,256.8,,NEAR_MZF,15.67
17283,18,2025-09-21 05:10:33.399,2025-09-21,2025-09-21 10:40:33.399,2025-09-21 05:10:00,8.3,630.2,0.0,2846.5,0.0,1.0,0.0,1.0,29.549412,77.747536,256.8,,NEAR_MZF,15.67
17284,18,2025-09-21 05:10:34.759,2025-09-21,2025-09-21 10:40:34.759,2025-09-21 05:10:00,8.0,630.2,0.0,2846.5,0.0,1.0,0.0,1.0,29.549412,77.747536,256.8,,NEAR_MZF,15.67
17285,18,2025-09-21 05:10:36.459,2025-09-21,2025-09-21 10:40:36.459,2025-09-21 05:10:00,8.0,630.3,0.0,2846.5,0.0,1.0,0.0,0.0,29.549412,77.747536,256.8,,NEAR_MZF,15.67
17286,18,2025-09-21 05:10:38.021,2025-09-21,2025-09-21 10:40:38.021,2025-09-21 05:10:00,5.7,630.3,0.0,2846.5,0.0,1.0,0.0,0.0,29.549412,77.747536,256.8,,NEAR_MZF,15.67
17287,18,2025-09-21 05:10:40.419,2025-09-21,2025-09-21 10:40:40.419,2025-09-21 05:10:00,0.0,630.4,0.0,2846.5,0.0,0.0,0.0,0.0,29.549412,77.747536,256.8,,NEAR_MZF,15.67
17288,18,2025-09-21 05:10:41.739,2025-09-21,2025-09-21 10:40:41.739,2025-09-21 05:10:00,0.0,630.4,0.0,2846.5,0.0,0.0,0.0,0.0,29.549412,77.747536,256.8,,NEAR_MZF,15.67
17289,18,2025-09-21 05:10:44.127,2025-09-21,2025-09-21 10:40:44.127,2025-09-21 05:10:00,,,0.0,2846.5,0.0,0.0,0.0,0.0,29.549412,77.747536,256.8,,NEAR_MZF,15.67
17290,18,2025-09-21 05:10:45.199,2025-09-21,2025-09-21 10:40:45.199,2025-09-21 05:10:00,,,0.0,2846.5,0.0,0.0,0.0,0.0,29.549412,77.747536,256.8,,NEAR_MZF,15.67
17291,18,2025-09-21 05:10:46.259,2025-09-21,2025-09-21 10:40:46.259,2025-09-21 05:10:00,,,0.0,2846.5,0.0,0.0,0.0,0.0,29.549412,77.747536,256.8,,NEAR_MZF,15.67
17292,18,2025-09-21 05:10:47.419,2025-09-21,2025-09-21 10:40:47.419,2025-09-21 05:10:00,,,0.0,2846.5,0.0,0.0,0.0,0.0,29.549412,77.747536,256.8,,NEAR_MZF,15.67
17293,18,2025-09-21 05:10:48.459,2025-09-21,2025-09-21 10:40:48.459,2025-09-21 05:10:00,,,0.0,2846.5,0.0,0.0,0.0,0.0,29.549412,77.747536,256.8,,NEAR_MZF,15.67
17294,18,2025-09-21 05:10:49.619,2025-09-21,2025-09-21 10:40:49.619,2025-09-21 05:10:00,,,0.0,2846.5,0.0,0.0,0.0,0.0,29.549412,77.747536,256.8,,NEAR_MZF,15.67
17295,18,2025-09-21 05:10:50.579,2025-09-21,2025-09-21 10:40:50.579,2025-09-21 05:10:00,,,0.0,2846.5,0.0,0.0,0.0,0.0,29.549412,77.747536,256.8,,NEAR_MZF,15.67
17296,18,2025-09-21 05:10:51.699,2025-09-21,2025-09-21 10:40:51.699,2025-09-21 05:10:00,,,0.0,2846.5,0.0,0.0,0.0,0.0,29.549412,77.747536,256.8,,NEAR_MZF,15.67
17297,18,2025-09-21 05:10:52.799,2025-09-21,2025-09-21 10:40:52.799,2025-09-21 05:10:00,,,0.0,2846.5,0.0,0.0,0.0,0.0,29.549412,77.747536,256.8,,NEAR_MZF,15.67
17298,18,2025-09-21 05:10:53.839,2025-09-21,2025-09-21 10:40:53.839,2025-09-21 05:10:00,,,0.0,2846.5,0.0,0.0,0.0,0.0,29.549412,77.747536,256.8,,NEAR_MZF,15.67
17299,18,2025-09-21 05:10:54.999,2025-09-21,2025-09-21 10:40:54.999,2025-09-21 05:10:00,,,0.0,2846.5,0.0,0.0,0.0,0.0,29.549412,77.747536,256.8,,NEAR_MZF,15.67
17300,18,2025-09-21 05:10:56.059,2025-09-21,2025-09-21 10:40:56.059,2025-09-21 05:10:00,,,0.0,2846.5,0.0,0.0,0.0,0.0,29.549412,77.747536,256.8,,NEAR_MZF,15.67
17301,18,2025-09-21 05:10:57.219,2025-09-21,2025-09-21 10:40:57.219,2025-09-21 05:10:00,,,0.0,2846.5,0.0,0.0,0.0,0.0,29.549412,77.747536,256.8,,NEAR_MZF,15.67
17302,18,2025-09-21 05:10:58.259,2025-09-21,2025-09-21 10:40:58.259,2025-09-21 05:10:00,,,0.0,2846.5,0.0,0.0,0.0,0.0,29.549412,77.747536,256.8,,NEAR_MZF,15.67
17303,18,2025-09-21 05:10:59.419,2025-09-21,2025-09-21 10:40:59.419,2025-09-21 05:10:00,,,0.0,2846.5,0.0,0.0,0.0,0.0,29.549412,77.747536,256.8,,NEAR_MZF,15.67
17304,18,2025-09-21 05:11:00.599,2025-09-21,2025-09-21 10:41:00.599,2025-09-21 05:11:00,,,0.0,2846.5,0.0,0.0,0.0,0.0,29.549414,77.747536,256.8,0.0,NEAR_MZF,15.67
17305,18,2025-09-21 05:11:01.699,2025-09-21,2025-09-21 10:41:01.699,2025-09-21 05:11:00,,,0.0,2846.5,0.0,0.0,0.0,0.0,29.549414,77.747536,256.8,0.0,NEAR_MZF,15.67
17306,18,2025-09-21 05:11:02.679,2025-09-21,2025-09-21 10:41:02.679,2025-09-21 05:11:00,,,0.0,2846.5,0.0,0.0,0.0,0.0,29.549416,77.74753,256.6,0.0,NEAR_MZF,16.25
17307,18,2025-09-21 05:11:03.819,2025-09-21,2025-09-21 10:41:03.819,2025-09-21 05:11:00,0.0,0.0,0.0,2846.5,0.0,0.0,0.0,1.0,29.549417,77.74753,256.6,0.0,NEAR_MZF,16.26
17308,18,2025-09-21 05:11:03.979,2025-09-21,2025-09-21 10:41:03.979,2025-09-21 05:11:00,,,0.0,2846.5,0.0,0.0,0.0,1.0,29.549417,77.74753,256.6,0.0,NEAR_MZF,16.26
17309,18,2025-09-21 05:11:05.699,2025-09-21,2025-09-21 10:41:05.699,2025-09-21 05:11:00,0.0,630.6,0.0,2846.5,0.0,0.0,0.0,1.0,29.549417,77.74753,256.6,0.0,NEAR_MZF,16.26
17310,18,2025-09-21 05:11:07.579,2025-09-21,2025-09-21 10:41:07.579,2025-09-21 05:11:00,0.0,630.6,0.0,2846.5,0.0,0.0,0.0,1.0,29.549417,77.74753,256.6,0.0,NEAR_MZF,16.26
17311,18,2025-09-21 05:11:08.819,2025-09-21,2025-09-21 10:41:08.819,2025-09-21 05:11:00,0.0,630.6,0.0,2846.5,0.0,0.0,0.0,1.0,29.549417,77.74753,256.6,0.0,NEAR_MZF,16.26
17312,18,2025-09-21 05:11:10.539,2025-09-21,2025-09-21 10:41:10.539,2025-09-21 05:11:00,0.0,630.7,0.0,2846.5,0.0,0.0,0.0,1.0,29.549417,77.74753,256.6,0.0,NEAR_MZF,16.26
17313,18,2025-09-21 05:11:12.679,2025-09-21,2025-09-21 10:41:12.679,2025-09-21 05:11:00,3.0,630.7,0.0,2846.5,0.0,0.0,0.0,1.0,29.549417,77.74753,256.6,0.0,NEAR_MZF,16.26
