,Departure_Index,vehicle_id,Trip,Departure_Time,Arrival_Time,ODO_Distance_km,TRAVEL_Time,Energy_Consumed_kWh,Regen_Energy_kWh,Idling_Energy_kWh,Net_Energy_kWh,Energy_Rate_kWh_per_km,HALT_Time,TOTAL_Time,GPS_Distance_km,Arrival_Index
61,810437,18,MZF-DDN,2025-10-08 11:20:03.564,2025-10-08 13:46:03.734,125.38,02:26:00,151.248,30.67,1.326,120.578,0.96,00:42:00,03:08:00,85.7,816183
62,823619,18,DDN-MZF,2025-10-08 16:39:00.860,2025-10-08 19:47:00.311,126.8,03:07:59,131.449,41.943,1.904,89.505,0.71,02:52:57,06:00:56,85.83,831020
63,832901,18,MZF-GGN,2025-10-08 20:29:00.297,2025-10-09 00:53:01.185,201.15,04:24:00,199.368,66.493,0.492,132.875,0.66,00:41:59,05:06:00,145.13,839079
64,893636,19,DDN-MZF,2025-09-21 04:55:00.713,2025-09-21 07:26:02.101,124.99,02:31:01,119.024,26.625,2.457,92.399,0.74,03:49:52,06:20:54,85.99,899306
65,899884,19,MZF-GGN,2025-09-21 08:24:02.262,2025-09-21 12:48:04.501,198.88,04:24:02,201.604,49.273,10.187,152.331,0.77,00:58:00,05:22:02,144.98,906229
66,934220,19,GGN-MZF,2025-09-22 14:32:05.736,2025-09-22 20:20:05.477,206.66,05:47:59,201.636,65.263,4.747,136.373,0.66,25:44:01,31:32:00,145.1,941959
67,944386,19,MZF-DDN,2025-09-22 21:12:03.157,2025-09-22 23:23:08.726,125.12,02:11:05,189.513,31.759,0.0,157.754,1.26,00:51:57,03:03:03,85.76,949169
68,966100,19,DDN-MZF,2025-09-23 04:58:01.183,2025-09-23 07:30:29.945,127.08,02:32:28,110.266,23.239,1.216,87.027,0.68,05:34:52,08:07:21,85.8,971587
69,974052,19,MZF-GGN,2025-09-23 08:25:04.355,2025-09-23 14:00:01.444,198.62,05:34:57,229.907,90.56,3.427,139.346,0.7,00:54:34,06:29:31,145.06,981949
70,983587,19,GGN-MZF,2025-09-23 15:29:05.997,2025-09-23 22:06:03.502,206.89,06:36:57,228.563,42.088,9.638,186.474,0.9,01:29:04,08:06:02,144.83,992782
